saint_id,kind,tone,text,translation,source_url
OS-0224,Troparion,2,"O divinely-chosen Hierarch of Christ, Ioasaph, / from childhood you were an extraordinary man of prayer. / By your pious life, you appeared as a rule of faith and an example of mercy; / and to those who come to you with faith, you gush forth abundant healing. / Pray to Christ God that He may confirm our land in Orthodoxy, peace and piety, and save our souls.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-0224,Troparion,3,"O Hierarch, beloved by God, you were a rule of faith and an example of mercy for the people, / through vigil, fasting and prayer, you shone forth as a radiant lamp and were glorified by God. / Resting with your incorrupt body, and standing before the Throne of God, / you gush forth most glorious miracles. / Pray to Christ God that He may confirm our land in Orthodoxy and piety, and save our souls.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-0224,Kontakion,8,"Who can tell of the various struggles of your life? / Who can count the various mercies of God which you manifested? / Knowing well your boldness before the Most Pure Theotokos and the all-generous God, we call upon you with compunctionate hearts: / ""Do not deprive us of your help and intercession, O Hierarch of Christ and wonderworker Ioasaph.""",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-1451,Troparion,8,"In you, O Mother, was preserved with exactness what was according to the image; / for you took up the Cross and followed Christ. / By so doing, you taught us to disregard the flesh, for it passes away; / but to care for the soul, since it is immortal. / Therefore, O Venerable Angelina, your spirit rejoices with the Angels.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-1451,Kontakion,8,"Desiring to be worthy of heavenly life, / you hastened to forsake earthly pleasures, and distributed your wealth to the poor. / Having received heavenly riches, you sanctify us after death by streaming forth miracles, / O Angelina, worthy of all praise. / Therefore, we revere your repose, crying out: “Rejoice, O Mother glorified by all.”",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2328,Troparion,8,"Having slain the fiery ragings and fierce movements of the passions through their ascetic labors, / the Martyrs of Christ, Menas, Hermogenes, and Eugraphus, received grace to dispel the afflictions of the infirm and to work wonders both while alive and after death. / It is a truly great wonder that bare bones pour forth healing. / Glory to our only God and Creator.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2328,Kontakion,4,"The Lord snatched you from the temporal army making you a fellow inheritor of the eternal, O Menas; / together with Hermogenes and Eugraphus with whom you suffered, / you are granted an incorruptible crown.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2329,Troparion,4,"Your holy martyr Gemellus, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2329,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Gemellus; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2330,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Thomas, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10/103516-venerable-thomas-of-bithynia
OS-2331,Kontakion,8,"(Podoben: “O victorious Leader...”) Come, let us praise John, / the newly glorified servant of God’s grace, / the glory of our Faith and our intercessor / who invites us to sing with grateful voices, / and to glorify Him Who glorifies His Saints, / for he prays for those who honor his memory / and who sing to him: “Rejoice, O newly blossomed flower John.”",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2332,Troparion,1,"(Podoben: “Your tomb, O Savior...”) You shone forth in asceticism, like gold in the furnace, with your divine teachings, / you enlightened the choirs of monastics who followed you, O God-bearer Leóntios, / and today, as we celebrate your radiant memory, / we ask you to intercede with the Lord for us.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
OS-2332,Kontakion,2,"(Podoben: “You sought the heights...”) Having divinely armed yourself with the purity of your soul, / and firmly grasping unceasing prayer as a spear, you pierced the armies of demons. / Therefore, we beseech you, O our Father Leontius, / always intercede for us who honor you.",Permission:oca,https://www.oca.org/saints/troparia/2015/12/10
