Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0001,Most Holy Theotokos (Virgin Mary),Panagia; Mother of God; Our Lady,Female,Theotokos,Layperson,Married; Parent,,Grief / Bereavement,Humility; Obedience; Purity; Faith; Love,Healing; Children; Pregnancy; Childbirth; Protection from Danger,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Nativity Sep 8; Entrance Nov 21; Annunciation Mar 25; Dormition Aug 15,"Most Holy Theotokos, save us.",,,"The Mother of God, who bore Christ. The foremost intercessor, honored above all saints.","First saint to invoke in any need. Many icons (Vladimir, Kazan, Tikhvin) carry their own commemorations.","The Dormition Fast (Aug 1–14) precedes her summer feast, during which the Paraklesis (supplicatory canon) is chanted to her; in many places flowers and fragrant herbs are blessed at the Dormition.",,,,Synaxarion
OS-0002,St. John the Forerunner & Baptist,St. John the Baptist; the Prophet John,Male,Prophet; Forerunner,Layperson,Single Adult,,Imprisonment; Persecution,Courage; Humility; Repentance; Zeal,,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Nativity Jun 24; Beheading Aug 29; Synaxis Jan 7; Finding of the Head Feb 24,"Holy Prophet and Forerunner John, pray to God for us.",,,The forerunner who baptized Christ and was beheaded by Herod. Greatest born of woman.,Patron of monastics and of those called to preach repentance.,,,,,Synaxarion
OS-0003,Apostle Andrew the First-Called,Protokletos,Male,Apostle,,Single Adult,Sailor,Persecution; Torture,Zeal; Faith; Courage,Travel,Palestine / Holy Land,Pan-Orthodox; Greek; Russian,Apostolic Age,1st,Nov 30,"Holy Apostle Andrew the First-Called, pray to God for us.",,,Brother of Peter and the first disciple called by Christ; preached in the Black Sea region.,Considered founder of the Church of Constantinople.,,,,,Synaxarion
OS-0004,Apostles Peter & Paul,Sts. Peter and Paul; Chief Apostles,Male,Apostle,,Married,Sailor; Craftsman; Writer; Scholar,Imprisonment; Persecution; Torture; Repentance from grave sin,Faith; Courage; Repentance; Zeal; Perseverance,Missionary Work,Palestine / Holy Land; Asia Minor,Pan-Orthodox,Apostolic Age,1st,Jun 29,"Holy Apostles Peter and Paul, pray to God for us.",,,"The two chief apostles, martyred in Rome. Peter the rock; Paul the apostle to the nations.",Their fast (Apostles' Fast) precedes this feast.,,The Epistles of St. Paul; 1–2 Peter,,,Synaxarion
OS-0005,Apostle & Evangelist John the Theologian,St. John the Divine; the Beloved Disciple,Male,Apostle,,Single Adult,Sailor; Writer; Scholar,Exile,Love; Faith; Wisdom,,Palestine / Holy Land; Asia Minor,Pan-Orthodox,Apostolic Age,1st,May 8; Sep 26,"Holy Apostle and Evangelist John the Theologian, pray to God for us.",,,"The beloved disciple, author of the Fourth Gospel, three Epistles, and Revelation.",The only apostle not martyred; cared for the Theotokos.,,Gospel of John; 1–3 John; Revelation,,,Synaxarion
OS-0006,Apostle & Evangelist Luke,St. Luke the Physician,Male,Apostle,,Single Adult,Physician; Iconographer; Writer; Artist,Persecution,Faith; Love; Discernment,Healing; Missionary Work,Syria; Greece,Pan-Orthodox,Apostolic Age,1st,Oct 18,"Holy Apostle and Evangelist Luke, pray to God for us.",,,"Companion of Paul, author of the third Gospel and Acts; tradition holds he painted the first icons.",Patron of doctors and Christian artists.,,Gospel of Luke; Acts of the Apostles,,,Synaxarion
OS-0007,St. Mary Magdalene,Myrrh-bearer; Equal-to-the-Apostles,Female,Equal-to-the-Apostles; Myrrh-bearer,Layperson; Convert,Single Adult,,,Love; Faith; Zeal; Courage,,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Jul 22,"Holy Myrrh-bearer and Equal-to-the-Apostles Mary Magdalene, pray to God for us.",,,First to see the risen Christ; later preached widely.,Tradition links her to the red-egg greeting of Pascha.,,,,,Synaxarion
OS-0008,"St. Photini, the Samaritan Woman",Svetlana; the Samaritan Woman,Female,Great Martyr; Equal-to-the-Apostles,Layperson; Convert,Married,,Persecution; Torture,Faith; Courage; Zeal,Missionary Work,Palestine / Holy Land,Pan-Orthodox; Greek,Apostolic Age,1st,Feb 26; Mar 20,"Holy Great Martyr Photini, pray to God for us.",,,The woman at the well (John 4); later evangelized and was martyred under Nero.,Name often rendered Svetlana/Fotini. Principal feast Feb 26; also commemorated Mar 20 (OCA) and the movable Sunday of the Samaritan Woman.,,,,,Synaxarion
OS-0009,First-Martyr & Archdeacon Stephen,Protomartyr Stephen,Male,Martyr,Clergy - Deacon,Single Adult,,Persecution; Torture,Courage; Forgiveness; Faith,,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Dec 27,"Holy Protomartyr and Archdeacon Stephen, pray to God for us.",,,"First of the seven deacons and the first Christian martyr, stoned while forgiving his killers.",Patron of the diaconate.,,,,,Synaxarion
OS-0010,St. Thekla,Protomartyr among women,Female,Martyr; Equal-to-the-Apostles,Layperson; Convert,Single Adult,,Persecution,Courage; Purity; Faith; Perseverance,,Asia Minor,Greek; Pan-Orthodox,Apostolic Age,1st,Sep 24,"Holy Protomartyr Thekla, pray to God for us.",,,Disciple of the Apostle Paul; preserved through fire and beasts.,First woman martyr; deeply venerated in the East.,,,,,Synaxarion
